AAAAX,Deutsche Alternative Asset Allocation Fund Class
AAADX,Alpine Rising Dividend Fund - Class A
AAAGX,Thrivent Large Cap Growth Fund Class A
AAAIX,American Century Strategic Allocation - Aggressi
AAANX,Horizon Active Asset Allocation Fd Cl N
AAAPX,Deutsche Alternative Asset Allocation Fund  Clas
AAAQX,Deutsche Alternative Asset Allocation Fund Class
AAARX,American Century Strategic Allocation Aggressive
AAASX,Deutsche Alternative Asset Allocation Fund Class
AAATX,American Fds 2010 Target Date Retirement Fd Cl A
AAAUX,American Century Strategic Allocation Aggressive
AAAVX,Deutsche Alternative Asset Allocation Fund - Cla
AAAWX,Deutsche Real Assets Fund - Class T
AAAZX,Deutsche Alternative Asset Allocation Fund Insti
AABAX,Cavanal Hill Balanced Fd Cl A Shs
AABCX,Putnam Dynamic Asset Allocation Balanced Class C
AABFX,Thrivent Balanced Income Plus Fund Class A
AABOX,Cavanal Hill Bond Fd Cl A Shs
AABPX,American Beacon Balanced Fund Investor Class
AABSX,Allianzgi Best Styles Emerging
AABTX,American Fds 2015 Target Date Retirement Fd Cl A
AABUX,Allianzgi Best Styles U.S. Equi
AACBX,Balanced Fund Class C Shares
AACCX,American Century Strategic Allocation Conservat
AACDX,American Century Strategic Allocation Conservati
AACFX,Invesco Greater China Fund Cl A
AACGX,American Century Strategic Allocation Conservat
AACIX,American Beacon Mid-Cap Value Fund Institutional
AACOX,Opportunistic Fund Class C Shares
AACRX,American Century Strategic Allocation Conservati
AACTX,American Fds 2020 Target Date Retirement Fd Cl A
AADAX,Invesco Growth  Allocation Fund Class A
AADBX,American Beacon Balanced Fund Institutional Clas
AADCX,Invesco Growth Allocation Fund Class C
AADDX,Alpine Rising Dividend Fund - Institutional Clas
AADEX,American Beacon Large Cap Value Fund Institution
AADGX,Aasgard Dividend Growth Small &
AADIX,Invesco Growth Allocation Fund Class R5
AADRX,Invesco Growth Allocation Fund Class R
AADSX,Invesco Growth Allocation Fund Class S
AADTX,American Fds 2025 Target Date Retirement Fd Cl A
AADYX,Invesco Growth Allocation Fund Class Y
AAEMX,The Alger Fds II Alger Emerging Markets Fund Cl
AAENX,Strategic Enhanced Yield Fund Class A Shares
AAERX,American Beacon International Equity Fund - R6 C
AAESX,Invesco Growth Allocation Fund Class R6
AAETX,American Fds 2030 Target Date Retirement Fd Cl A
AAFTX,American Fds 2035 Target Date Retirement Fd Cl A
AAGOX,Alger Portfolios - Alger Growth Portfolio Class
AAGPX,American Beacon Large Cap Value Fund Investor Cl
AAGTX,American Fds 2040 Target Date Retirement Fd Cl A
AAHMX,Alpine High Yield Managed Duration Muni Fd Cl A
AAHTX,American Fds 2045 Target Date Retirement Fd Cl A
AAHYX,Thrivent Diversified Income Plus Class A
AAIBX,Cavanal Hill Intermediate Bond Fd Cl A Shs
AAIEX,American Beacon Intl Equity Fund Inst Class
AAIFX,Crow Point Alternative Income Fund
AAIIX,Ancora Income Fund Class I
AAINX,Thrivent Opportunity Income Plus Fund Class A
AAIPX,American Beacon International Equity Fund Invest
AAISX,American Beacon International Equity Fund Adviso
AALGX,Thrivent Large Cap Stock Fund Class A
AALRX,American Beacon Large Cap Value Fund - R6 Class
AALTX,American Fds 2050 Target Date Retirement Fd Cl A
AAMAX,Absolute Capital Asset Allocator Fund Class A
AAMBX,Thrivent Municipal Bond Fund  Class A
AAMCX,Absolute Capital Asset Allocator Fund Class Inv
AAMIX,Absolute Capital Asset Allocator Fund Class Inst
AAMOX,Alger Portfolios - Alger Smidcap Growth Ptf Clas
AAMPX,Allianzgi Micro Cap Fd Cl P
AAMTX,American Funds 2055 Target Date Retirement Fund
AANTX,American Funds 2060 Target Date Retirement Fund
AAOPX,Cavanal Hill Opportunistic Fd Cl A
AAPEX,Aberdeen Asia-Pacific [Ex-Japan] Equity Fd Inst
AAPIX,Aberdeen Asia-Pacific [Ex-Japan] Equity Fd Inst
AARAX,Ab Cap Fund Inc. - Ab All Market Alternative Re
AARCX,Ab Cap Fund Inc. - Ab All Market Alternative Re
AARMX,Ai Jaforlines Risk-Managed Allocation Fund - Cla
AARYX,Ab Cap Fund Inc. - Ab All Market Alternative Re
AASCX,Thrivent  Mid Cap Stock Fund Class A
AASMX,Thrivent  Small Cap Stock Fund Class A
AASOX,Alger Portfolios - Alger Smallcap Growth Portfol
AASRX,American Beacon Small Cap Value Fund - R6 Class
AASSX,American Beacon Small Cap Value Fund Advisor Cla
AASTX,Cavanal Hill Short Term Income Fd Cl A Shs
AATFX,Cavanal Hill Intermediate Tax Free Bond Fd Cl A
AATIX,Ancora/Thelen Small Mid-Cap Fund Class I
AATSX,Ancora/Thelen Small-Mid Cap Fund Class S
AAUPX,Allianzgi Ultra Micro Cap Fd Cl P
AAUSX,Ultra Short Tax-Free Income Fund Class A Shares
AAUTX,Thrivent Large Cap Value Fund Class A
AAVPX,Aston/Value Partners Asia Dividend Fund Class I
AAWEX,Cavanal Hill World Energy Fund A Shs
AAWVX,Mid Cap Core Equity Fund - Class A Shares
AAZAX,Ab Municipal Income Fund II - Arizona Portfolio
